product_name,price,unit_price,retailer,category,week_start,month_start,bls_avg_bread_loaf,bls_avg_eggs_dozen,bls_avg_milk_gallon,bls_cpi_cereals_bakery,bls_cpi_dairy,bls_cpi_food_at_home,bls_cpi_fruits_veg,bls_cpi_meats_poultry,bls_ppi_food_mfg,price_lag1,price_delta,price_roll4,category_code,retailer_code,week_idx
bananas,0.57,0.44,retailer_a,produce,2024-01-01,2024-01-01,3.2676,2.4541,3.8776,319.6095,288.5258,313.1806,294.942,285.8728,274.8151,,,,5,0,0
bananas,0.59,0.45,retailer_a,produce,2024-01-08,2024-01-01,3.2676,2.4541,3.8776,319.6095,288.5258,313.1806,294.942,285.8728,274.8151,0.57,0.020000000000000018,,5,0,1
bananas,0.6,0.44,retailer_a,produce,2024-01-15,2024-01-01,3.2676,2.4541,3.8776,319.6095,288.5258,313.1806,294.942,285.8728,274.8151,0.59,0.010000000000000009,,5,0,2
bananas,0.6,0.48,retailer_a,produce,2024-01-22,2024-01-01,3.2676,2.4541,3.8776,319.6095,288.5258,313.1806,294.942,285.8728,274.8151,0.6,0.0,,5,0,3
bananas,0.64,0.78,retailer_a,produce,2024-01-29,2024-01-01,3.2676,2.4541,3.8776,319.6095,288.5258,313.1806,294.942,285.8728,274.8151,0.6,0.040000000000000036,0.59,5,0,4
bananas,0.67,0.82,retailer_a,produce,2024-02-05,2024-02-01,3.2735,2.4674,3.8625,321.2589,292.507,310.5769,297.1992,286.4564,278.3169,0.64,0.030000000000000027,0.6075,5,0,5
bananas,0.64,0.47,retailer_a,produce,2024-02-12,2024-02-01,3.2735,2.4674,3.8625,321.2589,292.507,310.5769,297.1992,286.4564,278.3169,0.67,-0.030000000000000027,0.6275,5,0,6
bananas,0.94,0.9,retailer_a,produce,2024-02-19,2024-02-01,3.2735,2.4674,3.8625,321.2589,292.507,310.5769,297.1992,286.4564,278.3169,0.64,0.29999999999999993,0.6375,5,0,7
bananas,0.63,0.51,retailer_a,produce,2024-02-26,2024-02-01,3.2735,2.4674,3.8625,321.2589,292.507,310.5769,297.1992,286.4564,278.3169,0.94,-0.30999999999999994,0.7225,5,0,8
bananas,0.72,0.48,retailer_a,produce,2024-03-04,2024-03-01,3.269,2.4659,3.8385,323.7815,290.6504,313.474,294.9728,286.1741,278.207,0.63,0.08999999999999997,0.72,5,0,9
bananas,0.65,0.49,retailer_a,produce,2024-03-11,2024-03-01,3.269,2.4659,3.8385,323.7815,290.6504,313.474,294.9728,286.1741,278.207,0.72,-0.06999999999999995,0.7324999999999999,5,0,10
bananas,0.73,0.83,retailer_a,produce,2024-03-18,2024-03-01,3.269,2.4659,3.8385,323.7815,290.6504,313.474,294.9728,286.1741,278.207,0.65,0.07999999999999996,0.735,5,0,11
bananas,0.62,0.64,retailer_a,produce,2024-03-25,2024-03-01,3.269,2.4659,3.8385,323.7815,290.6504,313.474,294.9728,286.1741,278.207,0.73,-0.10999999999999999,0.6825,5,0,12
bananas,0.64,0.79,retailer_a,produce,2024-04-01,2024-04-01,3.2936,2.4585,3.8527,320.9722,293.0236,310.596,296.9522,287.6013,279.337,0.62,0.020000000000000018,0.6799999999999999,5,0,13
bananas,0.68,0.53,retailer_a,produce,2024-04-08,2024-04-01,3.2936,2.4585,3.8527,320.9722,293.0236,310.596,296.9522,287.6013,279.337,0.64,0.040000000000000036,0.66,5,0,14
bananas,0.69,0.47,retailer_a,produce,2024-04-15,2024-04-01,3.2936,2.4585,3.8527,320.9722,293.0236,310.596,296.9522,287.6013,279.337,0.68,0.009999999999999898,0.6675,5,0,15
bananas,0.72,0.64,retailer_a,produce,2024-04-22,2024-04-01,3.2936,2.4585,3.8527,320.9722,293.0236,310.596,296.9522,287.6013,279.337,0.69,0.030000000000000027,0.6575,5,0,16
bananas,0.68,0.74,retailer_a,produce,2024-04-29,2024-04-01,3.2936,2.4585,3.8527,320.9722,293.0236,310.596,296.9522,287.6013,279.337,0.72,-0.039999999999999925,0.6825,5,0,17
bananas,0.69,0.6,retailer_a,produce,2024-05-06,2024-05-01,3.2851,2.4847,3.9132,324.7064,293.7866,317.5576,296.2648,287.2853,276.5327,0.68,0.009999999999999898,0.6925,5,0,18
bananas,0.7,0.76,retailer_a,produce,2024-05-13,2024-05-01,3.2851,2.4847,3.9132,324.7064,293.7866,317.5576,296.2648,287.2853,276.5327,0.69,0.010000000000000009,0.695,5,0,19
bananas,0.66,0.63,retailer_a,produce,2024-05-20,2024-05-01,3.2851,2.4847,3.9132,324.7064,293.7866,317.5576,296.2648,287.2853,276.5327,0.7,-0.039999999999999925,0.6974999999999999,5,0,20
bananas,0.66,0.45,retailer_a,produce,2024-05-27,2024-05-01,3.2851,2.4847,3.9132,324.7064,293.7866,317.5576,296.2648,287.2853,276.5327,0.66,0.0,0.6825,5,0,21
bananas,0.74,0.82,retailer_a,produce,2024-06-03,2024-06-01,3.29,2.485,3.8965,322.6638,292.1301,313.7475,298.4549,290.6816,279.887,0.66,0.07999999999999996,0.6775,5,0,22
bananas,0.65,0.68,retailer_a,produce,2024-06-10,2024-06-01,3.29,2.485,3.8965,322.6638,292.1301,313.7475,298.4549,290.6816,279.887,0.74,-0.08999999999999997,0.69,5,0,23
bananas,0.68,0.56,retailer_a,produce,2024-06-17,2024-06-01,3.29,2.485,3.8965,322.6638,292.1301,313.7475,298.4549,290.6816,279.887,0.65,0.030000000000000027,0.6775,5,0,24
bananas,0.61,0.43,retailer_a,produce,2024-06-24,2024-06-01,3.29,2.485,3.8965,322.6638,292.1301,313.7475,298.4549,290.6816,279.887,0.68,-0.07000000000000006,0.6825,5,0,25
bananas,0.64,0.44,retailer_a,produce,2024-07-01,2024-07-01,3.3175,2.4841,3.8923,323.3654,289.8121,315.8119,298.8959,289.2153,276.7174,0.61,0.030000000000000027,0.6699999999999999,5,0,26
bananas,0.65,0.48,retailer_a,produce,2024-07-08,2024-07-01,3.3175,2.4841,3.8923,323.3654,289.8121,315.8119,298.8959,289.2153,276.7174,0.64,0.010000000000000009,0.645,5,0,27
bananas,0.69,0.64,retailer_a,produce,2024-07-15,2024-07-01,3.3175,2.4841,3.8923,323.3654,289.8121,315.8119,298.8959,289.2153,276.7174,0.65,0.039999999999999925,0.645,5,0,28
bananas,0.74,0.75,retailer_a,produce,2024-07-22,2024-07-01,3.3175,2.4841,3.8923,323.3654,289.8121,315.8119,298.8959,289.2153,276.7174,0.69,0.050000000000000044,0.6475,5,0,29
bananas,0.66,0.69,retailer_a,produce,2024-07-29,2024-07-01,3.3175,2.4841,3.8923,323.3654,289.8121,315.8119,298.8959,289.2153,276.7174,0.74,-0.07999999999999996,0.6799999999999999,5,0,30
bananas,0.73,0.86,retailer_a,produce,2024-08-05,2024-08-01,3.3056,2.475,3.8821,324.3617,293.8413,318.8219,298.4638,288.3262,279.1182,0.66,0.06999999999999995,0.6849999999999999,5,0,31
bananas,0.65,0.54,retailer_a,produce,2024-08-12,2024-08-01,3.3056,2.475,3.8821,324.3617,293.8413,318.8219,298.4638,288.3262,279.1182,0.73,-0.07999999999999996,0.705,5,0,32
bananas,0.7,0.67,retailer_a,produce,2024-08-19,2024-08-01,3.3056,2.475,3.8821,324.3617,293.8413,318.8219,298.4638,288.3262,279.1182,0.65,0.04999999999999993,0.6950000000000001,5,0,33
bananas,0.68,0.48,retailer_a,produce,2024-08-26,2024-08-01,3.3056,2.475,3.8821,324.3617,293.8413,318.8219,298.4638,288.3262,279.1182,0.7,-0.019999999999999907,0.6849999999999999,5,0,34
bananas,0.72,0.57,retailer_a,produce,2024-09-02,2024-09-01,3.2936,2.4888,3.9204,324.1095,295.9383,317.9741,300.0934,288.4139,280.528,0.68,0.039999999999999925,0.6900000000000001,5,0,35
bananas,0.68,0.53,retailer_a,produce,2024-09-09,2024-09-01,3.2936,2.4888,3.9204,324.1095,295.9383,317.9741,300.0934,288.4139,280.528,0.72,-0.039999999999999925,0.6875,5,0,36
bananas,0.67,0.5,retailer_a,produce,2024-09-16,2024-09-01,3.2936,2.4888,3.9204,324.1095,295.9383,317.9741,300.0934,288.4139,280.528,0.68,-0.010000000000000009,0.695,5,0,37
bananas,0.65,0.49,retailer_a,produce,2024-09-23,2024-09-01,3.2936,2.4888,3.9204,324.1095,295.9383,317.9741,300.0934,288.4139,280.528,0.67,-0.020000000000000018,0.6875,5,0,38
