product_name,brand,package_size,price,unit_price,retailer,scrape_date,category
milk,Store Brand,standard,3.91,3.21,retailer_a,2024-01-07,dairy
milk,Store Brand,standard,3.89,4.28,retailer_a,2024-01-14,dairy
milk,Store Brand,standard,3.97,2.68,retailer_a,2024-01-21,dairy
milk,Store Brand,standard,3.95,4.16,retailer_a,2024-01-28,dairy
milk,Store Brand,standard,3.91,3.35,retailer_a,2024-02-04,dairy
milk,Store Brand,standard,3.91,3.89,retailer_a,2024-02-11,dairy
milk,Store Brand,standard,3.9,3.69,retailer_a,2024-02-18,dairy
milk,Store Brand,standard,3.96,2.93,retailer_a,2024-02-25,dairy
milk,Store Brand,standard,3.96,4.76,retailer_a,2024-03-03,dairy
milk,Store Brand,standard,3.9,4.24,retailer_a,2024-03-10,dairy
milk,Store Brand,standard,3.94,3.56,retailer_a,2024-03-17,dairy
milk,Store Brand,standard,3.96,3.45,retailer_a,2024-03-24,dairy
milk,Store Brand,standard,4.01,3.44,retailer_a,2024-03-31,dairy
milk,Store Brand,standard,3.93,4.23,retailer_a,2024-04-07,dairy
milk,Store Brand,standard,4.01,4.28,retailer_a,2024-04-14,dairy
milk,Store Brand,standard,3.99,3.88,retailer_a,2024-04-21,dairy
milk,Store Brand,standard,3.93,3.74,retailer_a,2024-04-28,dairy
milk,Store Brand,standard,3.96,3.36,retailer_a,2024-05-05,dairy
milk,Store Brand,standard,4.0,2.68,retailer_a,2024-05-12,dairy
milk,Store Brand,standard,3.97,4.23,retailer_a,2024-05-19,dairy
milk,Store Brand,standard,4.02,4.72,retailer_a,2024-05-26,dairy
milk,Store Brand,standard,4.02,4.56,retailer_a,2024-06-02,dairy
milk,Store Brand,standard,3.99,4.72,retailer_a,2024-06-09,dairy
milk,Store Brand,standard,4.02,3.91,retailer_a,2024-06-16,dairy
milk,Store Brand,standard,4.01,3.55,retailer_a,2024-06-23,dairy
milk,Store Brand,standard,4.03,3.1,retailer_a,2024-06-30,dairy
milk,Store Brand,standard,3.98,3.47,retailer_a,2024-07-07,dairy
milk,Store Brand,standard,4.03,3.67,retailer_a,2024-07-14,dairy
milk,Store Brand,standard,3.97,3.43,retailer_a,2024-07-21,dairy
milk,Store Brand,standard,3.95,4.05,retailer_a,2024-07-28,dairy
milk,Store Brand,standard,4.02,4.71,retailer_a,2024-08-04,dairy
milk,Store Brand,standard,3.93,4.31,retailer_a,2024-08-11,dairy
milk,Store Brand,standard,3.99,4.29,retailer_a,2024-08-18,dairy
milk,Store Brand,standard,3.96,3.36,retailer_a,2024-08-25,dairy
milk,Store Brand,standard,3.92,3.57,retailer_a,2024-09-01,dairy
milk,Store Brand,standard,3.94,2.81,retailer_a,2024-09-08,dairy
milk,Store Brand,standard,3.95,4.13,retailer_a,2024-09-15,dairy
milk,Store Brand,standard,3.94,3.8,retailer_a,2024-09-22,dairy
milk,Store Brand,standard,3.95,3.06,retailer_a,2024-09-29,dairy
milk,Store Brand,standard,3.97,2.68,retailer_a,2024-10-06,dairy
milk,Store Brand,standard,3.88,4.7,retailer_a,2024-10-13,dairy
milk,Store Brand,standard,3.96,3.44,retailer_a,2024-10-20,dairy
milk,Store Brand,standard,3.96,3.47,retailer_a,2024-10-27,dairy
milk,Store Brand,standard,4.24,4.37,retailer_a,2024-11-03,dairy
milk,Store Brand,standard,4.03,3.08,retailer_a,2024-11-10,dairy
milk,Store Brand,standard,4.02,3.24,retailer_a,2024-11-17,dairy
milk,Store Brand,standard,4.02,2.9,retailer_a,2024-11-24,dairy
milk,Store Brand,standard,4.09,4.4,retailer_a,2024-12-01,dairy
milk,Store Brand,standard,4.01,4.94,retailer_a,2024-12-08,dairy
milk,Store Brand,standard,4.0,4.17,retailer_a,2024-12-15,dairy
milk,Store Brand,standard,3.99,3.73,retailer_a,2024-12-22,dairy
milk,Store Brand,standard,4.06,4.53,retailer_a,2024-12-29,dairy
milk,Store Brand,standard,3.71,2.62,retailer_b,2024-01-07,dairy
milk,Store Brand,standard,3.74,2.96,retailer_b,2024-01-14,dairy
milk,Store Brand,standard,3.77,3.89,retailer_b,2024-01-21,dairy
milk,Store Brand,standard,3.82,2.67,retailer_b,2024-01-28,dairy
milk,Store Brand,standard,3.79,3.63,retailer_b,2024-02-04,dairy
milk,Store Brand,standard,3.81,2.67,retailer_b,2024-02-11,dairy
milk,Store Brand,standard,3.8,4.42,retailer_b,2024-02-18,dairy
milk,Store Brand,standard,3.81,2.67,retailer_b,2024-02-25,dairy
milk,Store Brand,standard,3.82,4.19,retailer_b,2024-03-03,dairy
milk,Store Brand,standard,3.78,2.94,retailer_b,2024-03-10,dairy
milk,Store Brand,standard,3.77,3.9,retailer_b,2024-03-17,dairy
milk,Store Brand,standard,3.85,2.91,retailer_b,2024-03-24,dairy
milk,Store Brand,standard,3.86,3.22,retailer_b,2024-03-31,dairy
milk,Store Brand,standard,3.85,3.64,retailer_b,2024-04-07,dairy
milk,Store Brand,standard,4.05,3.77,retailer_b,2024-04-14,dairy
milk,Store Brand,standard,3.8,3.06,retailer_b,2024-04-21,dairy
milk,Store Brand,standard,3.84,3.35,retailer_b,2024-04-28,dairy
milk,Store Brand,standard,3.89,2.98,retailer_b,2024-05-05,dairy
milk,Store Brand,standard,3.79,2.58,retailer_b,2024-05-12,dairy
milk,Store Brand,standard,3.85,3.64,retailer_b,2024-05-19,dairy
milk,Store Brand,standard,4.1,2.93,retailer_b,2024-05-26,dairy
milk,Store Brand,standard,3.83,3.58,retailer_b,2024-06-02,dairy
milk,Store Brand,standard,3.81,3.2,retailer_b,2024-06-09,dairy
milk,Store Brand,standard,3.86,3.0,retailer_b,2024-06-16,dairy
milk,Store Brand,standard,3.79,2.54,retailer_b,2024-06-23,dairy
milk,Store Brand,standard,3.83,3.29,retailer_b,2024-06-30,dairy
milk,Store Brand,standard,3.83,2.96,retailer_b,2024-07-07,dairy
milk,Store Brand,standard,3.84,3.82,retailer_b,2024-07-14,dairy
